"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"1419577_at",7.84640389927476,7.32741521650069,7.73151106101268,7.40485180481094,7.78586564348151,7.76383008686973,7.65518782021892,7.63889553093936,7.65518782021892
"1426980_s_at",3.45673879204126,3.13914202122678,3.3716209421547,3.5926486369333,3.25083456754188,3.74533274170749,3.70385210930901,4.02078621563023,3.49547565907605
"1426824_at",7.75131623526526,7.81412398949174,7.75131623526526,7.24471658977945,7.6924268997543,7.83669620419288,8.05159826409604,6.69146243034756,8.01361826343401
"1418442_at",7.83672859070941,7.28687223932477,7.82147162819705,7.7217763274603,7.72806694508209,7.4856980259768,7.67991769564197,7.77978300338193,7.26360503480437
"1448587_at",6.28990360538039,6.40049296074024,6.04922367235921,6.79475837201169,6.48123226759734,6.52474216383169,6.20244831965414,5.89634300655804,6.07828183081985
"1417144_at",7.06059237090985,7.3366489668858,7.63473293722407,7.28354498976436,7.23116116418509,7.28795572886451,7.81887342495731,7.72395025230268,7.32778071304614
"1424133_at",8.66071634856912,8.97288990902107,8.84657143564036,8.3386132674874,8.67383590690185,8.52936825053507,8.18112118919089,8.90764531930603,8.55468679131203
"1448034_at",8.23875590831172,7.24580630376406,7.24358311272146,7.56711756977908,7.56309951532421,7.76188930292113,7.57138270234377,7.27529034562987,8.010817173956
"1448353_x_at",9.6269463617736,9.89586017123835,9.81504742610887,9.21329158286036,9.4507974220525,9.51281379950307,10.179270666686,9.64999335067332,9.70451729889777
"1419146_a_at",7.84296548278553,7.73236223737967,8.34319247586263,8.24062903490868,8.76784247974737,8.35639214732226,8.29165356233292,6.13873081233839,8.02863579842513
"1420831_at",9.51646368571323,10.0672213593663,9.54221370598882,9.12264125590646,9.68486984585084,9.54221370598882,9.51689741334419,7.20684652521346,9.77063625671932
"1434089_at",5.01320748687048,4.36082711995562,5.59577912668705,4.70056543685272,4.85349778466271,4.66497225017505,5.38179816483375,5.17732588350519,4.41198647867137
"1418098_at",5.61356974006408,5.31104952700172,5.59931182637789,5.68890367720709,5.70719264455498,5.54845810532516,5.49009599684685,5.55783856507967,5.13190650160472
"1451666_at",10.7341492942744,11.6242976065369,12.1256060280071,10.7422659865226,11.4740800497168,11.3972630221865,11.2044470839912,11.6926266421189,10.7556482655407
"1449081_at",11.9193831103876,11.6336477985959,11.7481086781425,10.7543698801877,11.1937995161394,11.2199986383389,12.0023395376653,11.687589541429,11.7083476030112
"1451190_a_at",8.21135924009186,7.75366105998483,7.93147131267117,7.28180369619795,8.58128166989875,8.14760998746797,7.6125550903194,8.22076004604649,7.77557307990933
"1438961_s_at",8.24787343179573,7.88123965232109,8.27665682188419,8.61034786871254,8.60948698355851,8.59240050059189,8.33511150067943,8.44877880718185,8.32319916467345
"1427918_a_at",7.29125708852861,7.25004548505865,6.89185625785463,6.99051862095693,7.30701734221683,7.14317768404279,7.17514569307457,7.50972552586267,7.20097350630996
"1426810_at",7.44159138127256,7.67884951350848,7.17634736954152,7.83760112315391,7.67400661259928,7.82396910496478,7.62582753902142,7.98091636809347,7.5938902559951
"1420719_at",3.97118157779162,3.88662299866329,3.92987161977213,4.03655129399364,3.79076478577576,3.80592085301725,3.60566644723385,3.6027203118564,3.80592085301725
"1421519_a_at",5.18079890770293,5.08223990139126,4.81914305838466,5.39962648286789,4.7000828577455,4.85638384077329,5.27683790158343,5.25216724758618,5.18079890770293
"1452218_at",5.7883257242844,5.88552271751667,5.24943251461612,5.71041811007574,5.81986357895717,5.81986357895717,6.00294804688649,5.45542597024671,6.29149133502821
"1433502_s_at",5.76404829127233,5.86103737639575,5.78546147786029,5.22404303839552,5.55736385327177,5.27439649977657,6.21136103373877,5.77164681459379,5.73454413292122
"1433678_at",6.70995494600451,6.69023127207496,6.57127013530599,6.83996936344995,6.74416322831351,6.63255602040964,6.26748289624668,6.51662409732903,6.15881960606401
"1435007_s_at",12.1226577049985,12.0147641729603,11.3185933222346,12.5223572042864,12.3286193127523,12.1588425816419,11.7027034465687,11.8042293557695,11.7621901714714
"1453864_at",5.70719264455498,5.70719264455498,5.6859400116975,5.75855252658868,5.23923977745412,5.43456403694692,5.70719264455498,6.04548340520694,5.81452131951259
