"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"Nfil3",9.20571011040939,8.73253762139226,9.23057277206816,7.68791729140229,7.84368464050036,7.36938942908232,9.17030677208516,8.57265894765474,8.74255942208765
"Nnmt",10.5599763472047,10.2715529986355,10.2554739213806,11.1427918968217,10.5980449003649,10.7403911156773,9.83822348951569,9.52037412166225,9.7358297562669
"Ntrk2",6.76999718770156,6.75523041792438,7.02978453636667,7.78327601443698,8.23609909423502,8.22990458114362,6.74635943255034,7.45583652315173,7.00524245846293
"Oat",12.0523111921168,10.3445047441388,11.0481230700155,12.4157129329217,12.5180193023611,12.7061048993189,11.4883629701513,11.6269001583636,12.0340038839357
"Orm2",8.35629260627688,9.37521264938147,8.24103470181706,6.25194319103883,6.59583029529267,6.61292928528945,7.16344701329647,7.09001358101026,7.19955367227556
"Pde4b",6.94276698378828,7.37942153925924,7.53501070459379,8.12606964325105,8.35870248698633,8.44395364920167,6.99783280813172,7.68885877374706,7.20343580738111
"Dusp1",9.1971347825885,9.52709015934645,10.0242422809165,10.9074459836394,11.0936746997056,10.5342643487237,8.62543308338503,9.36071626036124,8.7188446409072
"Robo1",5.81362217693219,5.67931369348648,6.54603630852749,4.26889684572217,5.13529358976011,4.9587101888987,5.04634316418353,4.66942051555031,5.36582341759974
"Spsb4",5.32881386469092,5.39379645283867,6.33799420944031,4.41883681341134,4.72744694089148,4.45873504309532,5.76728568049012,5.32707438712165,4.79826147095238
"Gsap",5.31244913901359,5.2744019749086,5.34419759548826,6.79033484034557,5.96752842968828,6.28990360538038,4.75694121610467,5.2667801025205,4.86180921182256
"Dntt",6.44044637826775,7.05054376863846,7.05054376863846,8.1966547620416,7.62074789237898,7.35284653640303,5.92636005062149,6.36571570746341,5.65627417446183
"Unc13b",5.83904706675944,5.92014245818322,5.64616751661987,4.77123399751288,4.66790655176288,4.72552622869911,6.08798638802617,5.6925457763669,4.8039677120146
"Zap70",7.65280016586899,7.39861252052716,7.42617904477873,8.77244203629191,8.14611292732142,8.07633684398552,7.54473153370549,7.00524245846293,7.07347958909477
"Zfp36",9.01795089617413,9.46330123475364,9.76195630974669,10.4429416748318,10.3694746413705,10.845235006924,9.18301361972384,9.50836612599198,8.6316779660232
"Slc25a25",9.0373009922122,8.61417933917353,8.7471463287625,9.70777971247449,9.6424738459529,9.23380335011707,8.40616842560697,6.87205150004067,8.37679316228917
"Zfp810",5.87694733768144,5.84112814767813,6.47163580209573,4.96848283567411,5.01709461311462,4.90539098809466,5.95908699484006,5.75141626999145,5.33897040608519
"Gdf15",6.04000046826736,6.53608996287615,6.14391499100932,7.67650073141418,8.2024661491343,7.75749796736101,5.9726592160282,6.80611655476234,6.2286729551498
"Csad",10.0910688602784,9.08220634199963,9.6671497427584,8.6692647427449,8.47489342032262,8.47554899379169,11.3821552845073,10.6845850306281,9.72396668197231
"Slco1a1",5.03607849088185,7.39606519621805,6.70252056553835,9.09244750869507,9.10985966320584,9.14916035683947,10.8646708781413,9.78730889974034,8.89083635902862
